"ISO3_code","Time","PopFemale"
"ABW",1950,9973
"ABW",1951,10254
"ABW",1952,10539
"ABW",1953,10817
"ABW",1954,11085
"ABW",1955,11361
"ABW",1956,11639
"ABW",1957,11915
"ABW",1958,12207
"ABW",1959,12527
"ABW",1960,12872
"ABW",1961,13131
"ABW",1962,13307
"ABW",1963,13492
"ABW",1964,13680
"ABW",1965,13871
"ABW",1966,14070
"ABW",1967,14248
"ABW",1968,14399
"ABW",1969,14549
"ABW",1970,14681
"ABW",1971,14809
"ABW",1972,15050
"ABW",1973,15455
"ABW",1974,15924
"ABW",1975,16395
"ABW",1976,16820
"ABW",1977,17170
"ABW",1978,17450
"ABW",1979,17655
"ABW",1980,17768
"ABW",1981,17812
"ABW",1982,17905
"ABW",1983,18050
"ABW",1984,18158
"ABW",1985,18235
"ABW",1986,18273
"ABW",1987,18280
"ABW",1988,18273
"ABW",1989,18254
"ABW",1990,18253
"ABW",1991,18318
"ABW",1992,18738
"ABW",1993,19543
"ABW",1994,20429
"ABW",1995,21359
"ABW",1996,22319
"ABW",1997,23233
"ABW",1998,24106
"ABW",1999,24949
"ABW",2000,25630
"ABW",2001,26011
"ABW",2002,26182
"ABW",2003,26277
"ABW",2004,26340
"ABW",2005,26339
"ABW",2006,26293
"ABW",2007,26209
"ABW",2008,26093
"ABW",2009,25967
"ABW",2010,25853
"ABW",2011,25786
"ABW",2012,25716
"ABW",2013,25590
"ABW",2014,25426
"ABW",2015,25246
"ABW",2016,25069
"ABW",2017,24910
"ABW",2018,24774
"ABW",2019,24657
"ABW",2020,24504
"ABW",2021,24381
"ABW",2022,24305
"ABW",2023,24199
"ABW",2024,24092
"ABW",2025,23973
"ABW",2026,23834
"ABW",2027,23694
"ABW",2028,23542
"ABW",2029,23380
"ABW",2030,23214
"ABW",2031,23046
"ABW",2032,22864
"ABW",2033,22671
"ABW",2034,22462
"ABW",2035,22217
"ABW",2036,21918
"ABW",2037,21587
"ABW",2038,21257
"ABW",2039,20933
"ABW",2040,20606
"ABW",2041,20278
"ABW",2042,19965
"ABW",2043,19667
"ABW",2044,19393
"ABW",2045,19144
"ABW",2046,18929
"ABW",2047,18733
"ABW",2048,18552
"ABW",2049,18365
"ABW",2050,18154
"ABW",2051,17909
"ABW",2052,17640
"ABW",2053,17348
"ABW",2054,17050
"ABW",2055,16757
"ABW",2056,16475
"ABW",2057,16200
"ABW",2058,15933
"ABW",2059,15671
"ABW",2060,15418
"ABW",2061,15167
"ABW",2062,14916
"ABW",2063,14669
